0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.001,-1.403,0.001,0.146,-0.0,-0.546,0.0
-0.002,-2.826,0.012,0.3,-0.001,-1.089,0.0
-0.002,2.021,-0.017,-0.222,0.015,0.772,0.0
0.003,0.604,-0.013,-0.068,0.016,0.223,0.0
0.007,-0.807,-0.006,0.086,0.015,-0.321,0.0
0.002,-2.275,0.027,0.248,0.011,-0.856,0.0
-0.001,2.487,-0.071,-0.294,0.061,0.9,0.0
0.006,0.975,-0.056,-0.13,0.068,0.329,0.0
0.017,-0.514,-0.027,0.041,0.068,-0.224,0.0
0.012,-2.051,0.034,0.22,0.06,-0.761,0.0
0.002,2.646,-0.109,-0.316,0.129,0.923,0.0
0.016,1.054,-0.085,-0.152,0.138,0.335,0.0
0.02,-0.548,-0.033,0.021,0.136,-0.231,0.0
0.023,-2.113,0.028,0.199,0.127,-0.785,0.0
-0.008,2.589,-0.085,-0.286,0.177,0.926,0.0
0.014,0.998,-0.068,-0.146,0.184,0.343,0.0
0.022,-0.607,-0.026,0.006,0.182,-0.231,0.0
0.034,-2.152,0.009,0.165,0.174,-0.806,0.0
-0.024,2.561,-0.05,-0.256,0.195,0.955,0.0
0.003,0.979,-0.047,-0.147,0.2,0.374,0.0
0.018,-0.614,-0.025,-0.019,0.199,-0.211,0.0
0.04,-2.146,-0.013,0.122,0.194,-0.811,0.0
-0.041,2.575,-0.019,-0.227,0.19,1.003,0.0
-0.012,1.003,-0.033,-0.152,0.197,0.423,0.0
0.007,-0.573,-0.029,-0.049,0.2,-0.173,0.0
0.033,-2.102,-0.024,0.075,0.198,-0.796,0.0
-0.047,2.619,-0.012,-0.197,0.19,1.056,0.0
-0.025,1.049,-0.036,-0.157,0.202,0.478,0.0
-0.009,-0.523,-0.037,-0.08,0.21,-0.13,0.0
0.017,-2.049,-0.025,0.027,0.211,-0.778,0.0
-0.045,2.657,-0.037,-0.17,0.224,1.101,0.0
-0.035,1.065,-0.063,-0.169,0.247,0.516,0.0
-0.032,-0.539,-0.052,-0.118,0.262,-0.116,0.0
-0.004,-2.026,-0.027,-0.028,0.268,-0.799,0.0
-0.049,2.612,-0.111,-0.172,0.334,1.124,0.0
-0.064,0.887,-0.152,-0.234,0.389,0.46,0.0
-0.135,-1.06,-0.1,-0.215,0.425,-0.309,0.0
-0.077,-2.703,-0.06,-0.103,0.446,-1.154,0.0
-0.051,2.04,-0.016,-0.079,0.461,1.066,0.0
-0.068,0.666,-0.047,-0.12,0.491,0.515,0.0
-0.099,-0.728,-0.036,-0.139,0.52,-0.119,0.0
-0.16,-2.423,0.091,-0.103,0.52,-0.893,0.0
0.128,2.456,-0.066,0.121,0.607,1.139,0.0
0.132,1.344,0.013,0.164,0.571,0.825,0.0
0.202,0.344,0.027,0.215,0.5,0.454,0.0
0.262,-0.877,0.026,0.147,0.419,0.045,0.0
0.269,-2.351,0.011,-0.009,0.34,-0.451,0.0
-0.061,2.323,0.035,0.147,0.28,0.714,0.0
0.118,0.692,0.04,0.156,0.209,0.447,0.0
0.265,-0.988,0.01,0.049,0.121,0.037,0.0
0.317,-2.517,-0.192,-0.166,0.052,-0.559,0.0
-0.115,2.201,0.253,0.308,-0.143,0.803,0.0
0.047,0.69,0.135,0.231,-0.239,0.535,0.0
0.207,-0.824,-0.037,0.057,-0.331,0.093,0.0
0.348,-2.331,-0.357,-0.233,-0.39,-0.556,0.0
-0.262,2.332,0.41,0.505,-0.653,0.818,0.0
-0.119,0.864,0.155,0.344,-0.737,0.615,0.0
0.004,-0.567,-0.088,0.12,-0.781,0.212,0.0
0.146,-2.082,-0.294,-0.172,-0.801,-0.393,0.0
-0.252,2.626,0.288,0.516,-0.96,0.811,0.0
-0.213,1.203,0.038,0.381,-0.964,0.733,0.0
-0.161,-0.036,-0.132,0.248,-0.938,0.426,0.0
-0.108,-1.522,-0.188,0.022,-0.899,0.022,0.0
-0.038,2.976,0.009,0.231,-0.907,0.524,0.0
-0.171,0.888,-0.274,0.084,-0.792,0.528,0.0
-0.213,-1.523,-0.312,-0.233,-0.682,0.126,0.0
-0.092,2.666,0.056,0.443,-0.723,0.623,0.0
-0.277,0.283,-0.361,-0.052,-0.549,0.612,0.0
-0.27,-2.068,-0.311,-0.478,-0.431,-0.059,0.0
-0.153,2.205,-0.052,0.479,-0.464,0.847,0.0
-0.393,-0.046,-0.402,-0.135,-0.214,0.696,0.0
-0.364,-2.129,-0.255,-0.647,-0.093,-0.137,0.0
-0.136,2.373,-0.187,0.669,-0.089,1.073,0.0
-0.422,0.617,-0.375,0.143,0.227,0.952,0.0
-0.556,-0.996,-0.226,-0.359,0.456,0.343,0.0
-0.443,-2.607,0.233,-0.932,0.425,-0.725,0.0
-0.053,1.863,-0.523,0.688,0.755,1.164,0.0
-0.35,0.227,-0.371,0.082,1.079,0.761,0.0
-0.533,-1.264,0.074,-0.547,1.216,-0.084,0.0
-0.522,-2.751,0.807,-1.299,0.933,-1.485,0.0
0.112,1.447,-0.733,0.85,1.716,1.073,0.0
-0.214,-0.185,-0.262,-0.02,1.997,0.411,0.0
-0.45,-1.62,0.476,-0.906,1.911,-0.788,0.0
0.53,2.472,-1.233,2.089,2.159,1.021,0.0
0.182,0.664,-0.683,0.741,2.712,0.739,0.0
-0.173,-0.987,0.118,-0.434,2.787,-0.394,0.0
-0.519,-2.478,1.17,-1.507,2.082,-2.496,0.0
0.382,1.198,-0.958,1.4,3.34,0.762,0.0
0.036,-0.64,-0.133,0.002,3.54,-0.232,0.0
-0.397,-2.288,0.965,-1.205,2.91,-2.437,0.0
0.433,1.381,-1.04,1.686,3.971,0.61,0.0
0.117,-0.577,-0.214,0.241,4.181,-0.355,0.0
-0.359,-2.345,0.933,-0.99,3.485,-2.782,0.0
0.421,1.281,-0.998,1.676,4.613,0.394,0.0
0.109,-0.751,-0.158,0.3,4.743,-0.711,0.0
-0.402,-2.567,1.053,-0.852,3.809,-3.528,0.0
0.385,0.98,-0.89,1.53,5.234,0.118,0.0
0.047,-1.073,-0.008,0.248,5.223,-1.272,0.0
0.491,2.789,-1.263,2.364,5.57,0.372,0.0
0.334,0.576,-0.75,1.361,5.818,-0.247,0.0
-0.04,-1.438,0.202,0.138,5.616,-2.005,0.0
0.486,2.354,-1.217,2.258,6.206,0.222,0.0
0.279,0.175,-0.598,1.209,6.371,-0.682,0.0
-0.133,-1.814,0.428,0.075,5.927,-2.857,0.0
0.463,1.898,-1.129,2.105,6.822,-0.02,0.0
0.217,-0.269,-0.417,1.064,6.877,-1.206,0.0
-0.247,-2.236,0.703,0.062,6.083,-3.936,0.0
0.425,1.371,-0.994,1.915,7.402,-0.362,0.0
0.132,-0.804,-0.187,0.932,7.305,-1.886,0.0
-0.406,-2.728,1.076,0.147,5.882,-5.505,0.0
0.371,0.718,-0.798,1.698,7.928,-0.82,0.0
0.005,-1.471,0.131,0.824,7.579,-2.86,0.0
0.46,2.247,-1.129,1.984,8.433,-0.113,0.0
0.285,-0.114,-0.517,1.49,8.359,-1.48,0.0
-0.198,-2.284,0.603,0.797,7.484,-4.463,0.0
0.425,1.231,-0.921,1.845,8.873,-0.719,0.0
0.125,-1.164,-0.101,1.343,8.596,-2.57,0.0
0.44,2.506,-1.075,1.547,9.391,0.042,0.0
0.334,-0.045,-0.56,1.697,9.212,-1.525,0.0
-0.187,-2.405,0.569,1.376,8.235,-4.769,0.0
0.429,0.985,-0.831,1.75,9.665,-0.925,0.0
0.078,-1.595,0.029,1.708,9.21,-3.143,0.0
0.446,1.884,-0.953,1.439,10.088,-0.405,0.0
0.264,-0.854,-0.317,1.886,9.793,-2.179,0.0
0.414,2.623,-0.935,0.671,10.506,0.334,0.0
0.375,-0.247,-0.515,1.884,10.204,-1.628,0.0
-0.314,-2.878,0.728,2.519,8.656,-5.946,0.0
0.427,0.187,-0.611,1.756,10.524,-1.342,0.0
-0.2,-2.637,0.464,2.81,9.324,-5.035,0.0
0.44,0.435,-0.645,1.608,10.779,-1.243,0.0
-0.144,-2.539,0.316,3.178,9.709,-4.578,0.0
0.43,0.496,-0.642,1.524,10.975,-1.297,0.0
-0.146,-2.6,0.26,3.677,9.903,-4.45,0.0
0.405,0.368,-0.613,1.567,11.114,-1.497,0.0
-0.214,-2.823,0.289,4.412,9.903,-4.634,0.0
0.362,0.052,-0.56,1.782,11.192,-1.832,0.0
0.347,2.995,-0.388,-2.844,11.544,2.26,0.0
0.295,-0.443,-0.475,2.201,11.204,-2.27,0.0
0.435,2.413,-0.451,-1.816,11.753,1.179,0.0
0.199,-1.105,-0.352,2.879,11.14,-2.762,0.0
0.481,1.674,-0.513,-0.629,11.873,0.082,0.0
0.052,-1.918,-0.18,3.955,10.96,-3.289,0.0
0.453,0.776,-0.54,0.657,11.857,-1.009,0.0
-0.208,-2.86,0.073,5.817,10.469,-4.044,0.0
0.34,-0.292,-0.489,2.063,11.689,-2.032,0.0
0.437,2.271,-0.332,-2.378,12.046,1.176,0.0
0.143,-1.524,-0.332,3.802,11.356,-2.869,0.0
0.462,0.99,-0.469,-0.02,12.116,-0.731,0.0
-0.2,-2.862,-0.046,6.514,10.648,-3.646,0.0
0.32,-0.455,-0.469,2.29,11.839,-2.145,0.0
0.454,1.922,-0.298,-2.19,12.203,0.67,0.0
0.03,-2.05,-0.297,5.085,11.246,-3.024,0.0
0.404,0.3,-0.459,0.941,12.132,-1.518,0.0
0.391,2.552,-0.096,-4.132,12.015,2.142,0.0
0.142,-1.483,-0.407,4.208,11.554,-2.766,0.0
0.432,0.775,-0.394,-0.15,12.276,-1.027,0.0
0.336,2.924,0.082,-5.63,11.701,3.47,0.0
0.189,-1.159,-0.447,3.696,11.719,-2.659,0.0
0.434,1.01,-0.327,-0.871,12.328,-0.751,0.0
0.312,3.075,0.203,-6.515,11.444,4.291,0.0
0.192,-1.05,-0.459,3.552,11.772,-2.675,0.0
0.423,1.047,-0.285,-1.172,12.339,-0.74,0.0
0.323,3.047,0.256,-6.777,11.371,4.414,0.0
0.162,-1.115,-0.466,3.78,11.729,-2.791,0.0
0.404,0.93,-0.273,-1.083,12.332,-0.97,0.0
0.352,2.881,0.252,-6.549,11.473,3.922,0.0
0.106,-1.319,-0.477,4.366,11.596,-2.952,0.0
0.372,0.692,-0.288,-0.646,12.304,-1.391,0.0
0.383,2.606,0.208,-5.981,11.675,3.022,0.0
0.025,-1.627,-0.494,5.302,11.366,-3.082,0.0
0.321,0.366,-0.324,0.086,12.233,-1.932,0.0
0.4,2.262,0.139,-5.2,11.891,1.936,0.0
-0.073,-1.999,-0.514,6.534,11.042,-3.1,0.0
0.253,-0.016,-0.372,1.04,12.105,-2.49,0.0
0.397,1.876,0.056,-4.286,12.067,0.83,0.0
-0.185,-2.403,-0.534,8.017,10.619,-2.941,0.0
0.17,-0.428,-0.422,2.152,11.912,-2.992,0.0
0.371,1.473,-0.029,-3.296,12.174,-0.218,0.0
-0.307,-2.817,-0.549,9.722,10.099,-2.548,0.0
0.081,-0.85,-0.473,3.388,11.659,-3.363,0.0
0.328,1.067,-0.116,-2.236,12.211,-1.156,0.0
0.396,2.917,0.497,-7.848,10.945,5.06,0.0
